Bulk loading file /home/kimonas/iot_data/timescale-data-large.csv
localhost:5433 - accepting connections
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1640601173,270830.42,1.133096E+09,245258.79,54166.64,2.266200E+08,49051.95
1640601233,291642.00,1.150596E+09,245853.50,58327.55,2.301200E+08,49170.88
1640601293,267545.81,1.166647E+09,246128.06,53505.33,2.333300E+08,49225.74
1640601353,269995.31,1.182847E+09,246426.40,53999.98,2.365700E+08,49285.42
1640601413,282492.24,1.199796E+09,246871.66,56500.01,2.399600E+08,49374.48
1640601473,269999.72,1.215996E+09,247153.71,54000.01,2.432000E+08,49430.89
1640601533,272489.10,1.232346E+09,247458.96,54498.35,2.464700E+08,49491.95
1640601593,250018.37,1.247347E+09,247489.43,50001.53,2.494700E+08,49498.01
1640601653,268329.95,1.263447E+09,247734.61,53666.66,2.526900E+08,49547.06
1640601713,281664.28,1.280346E+09,248129.15,56333.36,2.560700E+08,49625.97
1640601773,286664.89,1.297546E+09,248572.09,57333.24,2.595100E+08,49714.56
1640601833,261675.09,1.313248E+09,248720.99,52330.93,2.626500E+08,49744.29

Summary:
loaded 1326397224 metrics in 5328.600sec with 4 workers (mean rate 248920.37 metrics/sec)
loaded 265280156 rows in 5328.600sec with 4 workers (mean rate 49784.21 rows/sec)
