Bulk loading file /home/kimonas/iot_data/influx-data-large.csv
{"results":[{"statement_id":0}]}
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1640343833,334706.79,1.371486E+09,296858.40,42333.70,1.734600E+08,37545.45
1640343893,225353.75,1.385007E+09,295941.67,28499.96,1.751700E+08,37429.49
1640343953,263549.21,1.400820E+09,295531.64,33333.35,1.771700E+08,37377.64
1640344013,308345.19,1.419321E+09,295691.81,38999.98,1.795100E+08,37397.92
1640344073,342624.13,1.439878E+09,296271.22,43333.32,1.821100E+08,37471.19
1640344133,305728.93,1.458222E+09,296386.56,38666.72,1.844300E+08,37485.77
1640344193,279372.11,1.474984E+09,296181.57,35333.32,1.865500E+08,37459.84
1640344253,324186.56,1.494436E+09,296514.96,40999.51,1.890100E+08,37501.98
1640344313,262253.44,1.510171E+09,296111.89,33166.87,1.910000E+08,37450.98
1640344373,333407.98,1.530175E+09,296545.56,42166.80,1.935300E+08,37505.81
1640344433,336019.08,1.550336E+09,296999.28,42500.14,1.960800E+08,37563.22
1640344493,310971.65,1.568995E+09,297158.06,39333.28,1.984400E+08,37583.33
1640344553,316258.31,1.587970E+09,297372.67,40000.02,2.008400E+08,37610.49
1640344613,346554.01,1.608764E+09,297919.13,43832.92,2.034700E+08,37679.62
1640344673,299151.98,1.626712E+09,297932.68,37833.70,2.057400E+08,37681.32
1640344733,346563.21,1.647506E+09,298461.27,43833.31,2.083700E+08,37748.19
1640344793,347899.88,1.668380E+09,298992.87,44000.00,2.110100E+08,37815.41
1640344853,359741.37,1.689965E+09,299639.13,45500.00,2.137400E+08,37897.16
1640344913,346612.75,1.710762E+09,300133.59,43833.36,2.163700E+08,37959.65
1640344973,189756.56,1.722147E+09,298983.83,23999.99,2.178100E+08,37814.24
1640345033,176593.54,1.732743E+09,297722.07,22333.33,2.191500E+08,37654.64
1640345093,299131.25,1.750690E+09,297736.45,37833.35,2.214200E+08,37656.46
1640345153,310988.53,1.769350E+09,297870.31,39333.28,2.237800E+08,37673.40
1640345213,309672.18,1.787930E+09,297988.33,39166.70,2.261300E+08,37688.33
1640345273,313623.08,1.806747E+09,298143.13,39666.66,2.285100E+08,37707.92
1640345333,351850.32,1.827858E+09,298669.67,44500.04,2.311800E+08,37774.51
1640345393,280687.45,1.844700E+09,298495.09,35499.97,2.333100E+08,37752.43
1640345453,368969.14,1.866838E+09,299172.72,46666.68,2.361100E+08,37838.14
1640345513,320223.04,1.886051E+09,299373.20,40500.00,2.385400E+08,37863.49
1640345573,353155.52,1.907241E+09,299880.58,44666.63,2.412200E+08,37927.67
1640345633,313621.59,1.926059E+09,300009.01,39665.10,2.436000E+08,37943.91
1640345693,325515.38,1.945589E+09,300245.17,41168.30,2.460700E+08,37973.76
1640345753,332071.11,1.965513E+09,300537.15,42000.03,2.485900E+08,38010.70
1640345813,370283.17,1.987730E+09,301171.20,46833.34,2.514000E+08,38090.91
1640345873,341314.97,2.008209E+09,301532.86,43166.63,2.539900E+08,38136.64
1640345933,310992.28,2.026868E+09,301617.32,39333.35,2.563500E+08,38147.32
1640345993,372931.33,2.049244E+09,302248.42,47166.64,2.591800E+08,38227.14
1640346053,278063.70,2.065928E+09,302036.27,35166.62,2.612900E+08,38200.29
[worker 3] backoffs took a total of 0.000000sec of runtime
[worker 1] backoffs took a total of 0.000000sec of runtime
[worker 2] backoffs took a total of 0.000000sec of runtime
[worker 0] backoffs took a total of 0.000000sec of runtime

Summary:
loaded 2066723277 metrics in 6845.272sec with 4 workers (mean rate 301919.83 metrics/sec)
loaded 261390621 rows in 6845.272sec with 4 workers (mean rate 38185.57 rows/sec)
